./train_v1.py --exp_suffix fc-emd --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type emd --model_version model_v1 --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:02:33     2/1000    train      130/140         0.3%      1.00E-03    0.04574
 00:02:35     2/1000     val        18/19          0.3%      1.00E-03    0.05386
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:02:37     3/1000    train        0/140         0.3%      1.00E-03    0.06277
 00:02:40     3/1000     val         1/19          0.3%      1.00E-03    0.08380
 00:02:41     3/1000    train       10/140         0.3%      1.00E-03    0.04804
 00:02:43     3/1000    train       20/140         0.3%      1.00E-03    0.04250
 00:02:45     3/1000     val         3/19          0.3%      1.00E-03    0.05605
 00:02:47     3/1000    train       30/140         0.3%      1.00E-03    0.04234
 00:02:49     3/1000     val         5/19          0.3%      1.00E-03    0.05409
 00:02:50     3/1000    train       40/140         0.3%      1.00E-03    0.06217
 00:02:52     3/1000    train       50/140         0.3%      1.00E-03    0.04883
 00:02:54     3/1000     val         7/19          0.3%      1.00E-03    0.04925
 00:02:56     3/1000    train       60/140         0.3%      1.00E-03    0.03986
 00:02:58     3/1000     val         9/19          0.4%      1.00E-03    0.04922
 00:02:59     3/1000    train       70/140         0.4%      1.00E-03    0.04575
 00:03:01     3/1000    train       80/140         0.4%      1.00E-03    0.05048
 00:03:03     3/1000     val        11/19          0.4%      1.00E-03    0.06987
 00:03:06     3/1000    train       90/140         0.4%      1.00E-03    0.05131
 00:03:07     3/1000     val        13/19          0.4%      1.00E-03    0.04279
 00:03:08     3/1000    train      100/140         0.4%      1.00E-03    0.05051
 00:03:10     3/1000    train      110/140         0.4%      1.00E-03    0.04496
 00:03:12     3/1000     val        15/19          0.4%      1.00E-03    0.06190
 00:03:14     3/1000    train      120/140         0.4%      1.00E-03    0.04339
 00:03:16     3/1000     val        17/19          0.4%      1.00E-03    0.05995
 00:03:17     3/1000    train      130/140         0.4%      1.00E-03    0.05259
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:03:20     4/1000    train        0/140         0.4%      1.00E-03    0.04177
 00:03:22     4/1000     val         0/19          0.4%      1.00E-03    0.04770
 00:03:24     4/1000    train       10/140         0.4%      1.00E-03    0.04813
 00:03:25     4/1000     val         2/19          0.4%      1.00E-03    0.05757
 00:03:26     4/1000    train       20/140         0.4%      1.00E-03    0.04749
 00:03:31     4/1000     val         4/19          0.4%      1.00E-03    0.05619
 00:03:31     4/1000    train       30/140         0.4%      1.00E-03    0.04510
 00:03:34     4/1000    train       40/140         0.4%      1.00E-03    0.04423
 00:03:35     4/1000     val         6/19          0.4%      1.00E-03    0.06312
 00:03:35     4/1000    train       50/140         0.4%      1.00E-03    0.04515
 00:03:40     4/1000     val         8/19          0.4%      1.00E-03    0.05140
 00:03:40     4/1000    train       60/140         0.4%      1.00E-03    0.05066
 00:03:42     4/1000    train       70/140         0.5%      1.00E-03    0.05095
 00:03:44     4/1000     val        10/19          0.5%      1.00E-03    0.04573
 00:03:44     4/1000    train       80/140         0.5%      1.00E-03    0.04924
 00:03:48     4/1000     val        12/19          0.5%      1.00E-03    0.05602
 00:03:48     4/1000    train       90/140         0.5%      1.00E-03    0.04453
 00:03:51     4/1000    train      100/140         0.5%      1.00E-03    0.04123
 00:03:53     4/1000     val        14/19          0.5%      1.00E-03    0.06225
 00:03:54     4/1000    train      110/140         0.5%      1.00E-03    0.04862
 00:03:57     4/1000     val        16/19          0.5%      1.00E-03    0.05479
 00:03:57     4/1000    train      120/140         0.5%      1.00E-03    0.03953
 00:04:00     4/1000    train      130/140         0.5%      1.00E-03    0.04973
 00:04:01     4/1000     val        18/19          0.5%      1.00E-03    0.06629
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:04:04     5/1000    train        0/140         0.5%      1.00E-03    0.04198
 00:04:08     5/1000     val         1/19          0.5%      1.00E-03    0.05244
 00:04:08     5/1000    train       10/140         0.5%      1.00E-03    0.04368
 00:04:10     5/1000    train       20/140         0.5%      1.00E-03    0.05251
 00:04:12     5/1000     val         3/19          0.5%      1.00E-03    0.04838
 00:04:14     5/1000    train       30/140         0.5%      1.00E-03    0.04728
 00:04:17     5/1000     val         5/19          0.5%      1.00E-03    0.06924
 00:04:17     5/1000    train       40/140         0.5%      1.00E-03    0.04153
 00:04:20     5/1000    train       50/140         0.5%      1.00E-03    0.03889
 00:04:21     5/1000     val         7/19          0.5%      1.00E-03    0.06603
 00:04:23     5/1000    train       60/140         0.5%      1.00E-03    0.04253
 00:04:25     5/1000     val         9/19          0.6%      1.00E-03    0.05125
 00:04:26     5/1000    train       70/140         0.6%      1.00E-03    0.04448
 00:04:28     5/1000    train       80/140         0.6%      1.00E-03    0.03947
 00:04:30     5/1000     val        11/19          0.6%      1.00E-03    0.04198
 00:04:32     5/1000    train       90/140         0.6%      1.00E-03    0.04409
 00:04:34     5/1000     val        13/19          0.6%      1.00E-03    0.06066
 00:04:34     5/1000    train      100/140         0.6%      1.00E-03    0.04388
 00:04:37     5/1000    train      110/140         0.6%      1.00E-03    0.04643
 00:04:39     5/1000     val        15/19          0.6%      1.00E-03    0.05854
 00:04:41     5/1000    train      120/140         0.6%      1.00E-03    0.04800
 00:04:43     5/1000     val        17/19          0.6%      1.00E-03    0.04802
 00:04:43     5/1000    train      130/140         0.6%      1.00E-03    0.05143
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:04:48     6/1000    train        0/140         0.6%      1.00E-03    0.04395
 00:04:49     6/1000     val         0/19          0.6%      1.00E-03    0.06100
 00:04:50     6/1000    train       10/140         0.6%      1.00E-03    0.04190
 00:04:53     6/1000     val         2/19          0.6%      1.00E-03    0.05693
 00:04:53     6/1000    train       20/140         0.6%      1.00E-03    0.05656
 00:04:57     6/1000     val         4/19          0.6%      1.00E-03    0.06568
 00:04:57     6/1000    train       30/140         0.6%      1.00E-03    0.05108
 00:04:59     6/1000    train       40/140         0.6%      1.00E-03    0.04148
 00:05:02     6/1000     val         6/19          0.6%      1.00E-03    0.05502
 00:05:02     6/1000    train       50/140         0.6%      1.00E-03    0.04086
 00:05:06     6/1000     val         8/19          0.6%      1.00E-03    0.06759
 00:05:06     6/1000    train       60/140         0.6%      1.00E-03    0.04832
 00:05:09     6/1000    train       70/140         0.7%      1.00E-03    0.05709
 00:05:11     6/1000     val        10/19          0.7%      1.00E-03    0.04518
 00:05:11     6/1000    train       80/140         0.7%      1.00E-03    0.04079
 00:05:16     6/1000     val        12/19          0.7%      1.00E-03    0.06224
 00:05:16     6/1000    train       90/140         0.7%      1.00E-03    0.04740
 00:05:18     6/1000    train      100/140         0.7%      1.00E-03    0.05170
 00:05:20     6/1000     val        14/19          0.7%      1.00E-03    0.04918
 00:05:20     6/1000    train      110/140         0.7%      1.00E-03    0.03821
 00:05:24     6/1000     val        16/19          0.7%      1.00E-03    0.06438
 00:05:25     6/1000    train      120/140         0.7%      1.00E-03    0.04477
 00:05:27     6/1000    train      130/140         0.7%      1.00E-03    0.04093
 00:05:29     6/1000     val        18/19          0.7%      1.00E-03    0.04472
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:05:31     7/1000    train        0/140         0.7%      1.00E-03    0.03839
 00:05:35     7/1000     val         1/19          0.7%      1.00E-03    0.05716
 00:05:35     7/1000    train       10/140         0.7%      1.00E-03    0.04082
 00:05:37     7/1000    train       20/140         0.7%      1.00E-03    0.04257
 00:05:38     7/1000     val         3/19          0.7%      1.00E-03    0.05939
 00:05:41     7/1000    train       30/140         0.7%      1.00E-03    0.04186
 00:05:43     7/1000     val         5/19          0.7%      1.00E-03    0.05830
 00:05:43     7/1000    train       40/140         0.7%      1.00E-03    0.04388
 00:05:46     7/1000    train       50/140         0.7%      1.00E-03    0.04218
 00:05:47     7/1000     val         7/19          0.7%      1.00E-03    0.06282
 00:05:50     7/1000    train       60/140         0.7%      1.00E-03    0.03777
 00:05:52     7/1000     val         9/19          0.8%      1.00E-03    0.05296
 00:05:52     7/1000    train       70/140         0.8%      1.00E-03    0.04041
 00:05:54     7/1000    train       80/140         0.8%      1.00E-03    0.04250
 00:05:57     7/1000     val        11/19          0.8%      1.00E-03    0.06008
 00:05:59     7/1000    train       90/140         0.8%      1.00E-03    0.04324
 00:06:01     7/1000     val        13/19          0.8%      1.00E-03    0.06436
 00:06:01     7/1000    train      100/140         0.8%      1.00E-03    0.04785
 00:06:04     7/1000    train      110/140         0.8%      1.00E-03    0.04187
 00:06:06     7/1000     val        15/19          0.8%      1.00E-03    0.05052
 00:06:08     7/1000    train      120/140         0.8%      1.00E-03    0.04435
 00:06:10     7/1000     val        17/19          0.8%      1.00E-03    0.05086
 00:06:11     7/1000    train      130/140         0.8%      1.00E-03    0.04199
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:06:14     8/1000    train        0/140         0.8%      1.00E-03    0.04195
 00:06:16     8/1000     val         0/19          0.8%      1.00E-03    0.05726
 00:06:18     8/1000    train       10/140         0.8%      1.00E-03    0.04832
 00:06:20     8/1000     val         2/19          0.8%      1.00E-03    0.04928
 00:06:20     8/1000    train       20/140         0.8%      1.00E-03    0.04592
 00:06:24     8/1000     val         4/19          0.8%      1.00E-03    0.05389
 00:06:24     8/1000    train       30/140         0.8%      1.00E-03    0.05327
 00:06:27     8/1000    train       40/140         0.8%      1.00E-03    0.04980
 00:06:29     8/1000     val         6/19          0.8%      1.00E-03    0.05361
 00:06:29     8/1000    train       50/140         0.8%      1.00E-03    0.05318
 00:06:33     8/1000     val         8/19          0.8%      1.00E-03    0.06643
 00:06:33     8/1000    train       60/140         0.8%      1.00E-03    0.04129
 00:06:36     8/1000    train       70/140         0.9%      1.00E-03    0.04888
 00:06:38     8/1000     val        10/19          0.9%      1.00E-03    0.04364
 00:06:38     8/1000    train       80/140         0.9%      1.00E-03    0.04236
 00:06:42     8/1000     val        12/19          0.9%      1.00E-03    0.05820
 00:06:42     8/1000    train       90/140         0.9%      1.00E-03    0.04432
 00:06:44     8/1000    train      100/140         0.9%      1.00E-03    0.05433
 00:06:46     8/1000     val        14/19          0.9%      1.00E-03    0.05827
 00:06:48     8/1000    train      110/140         0.9%      1.00E-03    0.05546
 00:06:50     8/1000     val        16/19          0.9%      1.00E-03    0.05623
 00:06:51     8/1000    train      120/140         0.9%      1.00E-03    0.03934
 00:06:54     8/1000    train      130/140         0.9%      1.00E-03    0.04666
 00:06:55     8/1000     val        18/19          0.9%      1.00E-03    0.04176
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:06:57     9/1000    train        0/140         0.9%      1.00E-03    0.03939
 00:07:01     9/1000     val         1/19          0.9%      1.00E-03    0.06901
 00:07:01     9/1000    train       10/140         0.9%      1.00E-03    0.04173
 00:07:03     9/1000    train       20/140         0.9%      1.00E-03    0.04464
 00:07:06     9/1000     val         3/19          0.9%      1.00E-03    0.05724
 00:07:08     9/1000    train       30/140         0.9%      1.00E-03    0.04619
 00:07:10     9/1000     val         5/19          0.9%      1.00E-03    0.05449
 00:07:11     9/1000    train       40/140         0.9%      1.00E-03    0.04322
 00:07:13     9/1000    train       50/140         0.9%      1.00E-03    0.04166
 00:07:15     9/1000     val         7/19          0.9%      1.00E-03    0.04789
 00:07:17     9/1000    train       60/140         0.9%      1.00E-03    0.04709
 00:07:19     9/1000     val         9/19          1.0%      1.00E-03    0.04570
 00:07:19     9/1000    train       70/140         1.0%      1.00E-03    0.04321
 00:07:22     9/1000    train       80/140         1.0%      1.00E-03    0.04774
 00:07:24     9/1000     val        11/19          1.0%      1.00E-03    0.04800
 00:07:26     9/1000    train       90/140         1.0%      1.00E-03    0.05511
 00:07:28     9/1000     val        13/19          1.0%      1.00E-03    0.05339
 00:07:29     9/1000    train      100/140         1.0%      1.00E-03    0.04935
 00:07:31     9/1000    train      110/140         1.0%      1.00E-03    0.03840
 00:07:33     9/1000     val        15/19          1.0%      1.00E-03    0.05572
 00:07:35     9/1000    train      120/140         1.0%      1.00E-03    0.05333
 00:07:37     9/1000     val        17/19          1.0%      1.00E-03    0.05004
 00:07:38     9/1000    train      130/140         1.0%      1.00E-03    0.04946
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:07:42    10/1000    train        0/140         1.0%      1.00E-03    0.05045
 00:07:43    10/1000     val         0/19          1.0%      1.00E-03    0.05568
Visualizing ...
Generating html visualization ...
DONE
 00:07:54    10/1000    train       10/140         1.0%      1.00E-03    0.05069
 00:07:57    10/1000     val         2/19          1.0%      1.00E-03    0.06235
 00:07:57    10/1000    train       20/140         1.0%      1.00E-03    0.04684
 00:08:01    10/1000     val         4/19          1.0%      1.00E-03    0.06735
 00:08:01    10/1000    train       30/140         1.0%      1.00E-03    0.05365
 00:08:04    10/1000    train       40/140         1.0%      1.00E-03    0.05400
 00:08:06    10/1000     val         6/19          1.0%      1.00E-03    0.04874
 00:08:06    10/1000    train       50/140         1.0%      1.00E-03    0.04559
 00:08:10    10/1000     val         8/19          1.0%      1.00E-03    0.05977
 00:08:11    10/1000    train       60/140         1.0%      1.00E-03    0.04426
 00:08:13    10/1000    train       70/140         1.1%      1.00E-03    0.04067
 00:08:15    10/1000     val        10/19          1.1%      1.00E-03    0.04483
 00:08:15    10/1000    train       80/140         1.1%      1.00E-03    0.04329
 00:08:19    10/1000     val        12/19          1.1%      1.00E-03    0.05258
 00:08:19    10/1000    train       90/140         1.1%      1.00E-03    0.05758
 00:08:22    10/1000    train      100/140         1.1%      1.00E-03    0.05533
 00:08:24    10/1000     val        14/19          1.1%      1.00E-03    0.06063
 00:08:25    10/1000    train      110/140         1.1%      1.00E-03    0.04731
 00:08:28    10/1000     val        16/19          1.1%      1.00E-03    0.05458
 00:08:29    10/1000    train      120/140         1.1%      1.00E-03    0.04673
 00:08:31    10/1000    train      130/140         1.1%      1.00E-03    0.05350
 00:08:33    10/1000     val        18/19          1.1%      1.00E-03    0.05758
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:08:35    11/1000    train        0/140         1.1%      1.00E-03    0.04160
 00:08:39    11/1000     val         1/19          1.1%      1.00E-03    0.05272
 00:08:39    11/1000    train       10/140         1.1%      1.00E-03    0.04443
 00:08:41    11/1000    train       20/140         1.1%      1.00E-03    0.04380
 00:08:43    11/1000     val         3/19          1.1%      1.00E-03    0.05216
 00:08:46    11/1000    train       30/140         1.1%      1.00E-03    0.03581
 00:08:48    11/1000     val         5/19          1.1%      1.00E-03    0.04855
 00:08:48    11/1000    train       40/140         1.1%      1.00E-03    0.04203
 00:08:51    11/1000    train       50/140         1.1%      1.00E-03    0.04485
 00:08:52    11/1000     val         7/19          1.1%      1.00E-03    0.05719
 00:08:54    11/1000    train       60/140         1.1%      1.00E-03    0.04149
 00:08:56    11/1000     val         9/19          1.2%      1.00E-03    0.05147
 00:08:56    11/1000    train       70/140         1.2%      1.00E-03    0.03976
 00:08:59    11/1000    train       80/140         1.2%      1.00E-03    0.04232
 00:09:01    11/1000     val        11/19          1.2%      1.00E-03    0.05589
 00:09:03    11/1000    train       90/140         1.2%      1.00E-03    0.04277
 00:09:05    11/1000     val        13/19          1.2%      1.00E-03    0.05095
 00:09:05    11/1000    train      100/140         1.2%      1.00E-03    0.04013
 00:09:08    11/1000    train      110/140         1.2%      1.00E-03    0.04912
 00:09:09    11/1000     val        15/19          1.2%      1.00E-03    0.06610
 00:09:12    11/1000    train      120/140         1.2%      1.00E-03    0.05131
 00:09:14    11/1000     val        17/19          1.2%      1.00E-03    0.04901
 00:09:15    11/1000    train      130/140         1.2%      1.00E-03    0.04148
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:09:18    12/1000    train        0/140         1.2%      1.00E-03    0.04446
 00:09:20    12/1000     val         0/19          1.2%      1.00E-03    0.05578
 00:09:22    12/1000    train       10/140         1.2%      1.00E-03    0.03874
 00:09:24    12/1000     val         2/19          1.2%      1.00E-03    0.04765
 00:09:24    12/1000    train       20/140         1.2%      1.00E-03    0.05706
 00:09:28    12/1000     val         4/19          1.2%      1.00E-03    0.04503
 00:09:28    12/1000    train       30/140         1.2%      1.00E-03    0.04146
 00:09:31    12/1000    train       40/140         1.2%      1.00E-03    0.03989
 00:09:33    12/1000     val         6/19          1.2%      1.00E-03    0.04910
 00:09:33    12/1000    train       50/140         1.2%      1.00E-03    0.04546
 00:09:37    12/1000     val         8/19          1.2%      1.00E-03    0.06229
 00:09:37    12/1000    train       60/140         1.2%      1.00E-03    0.04235
 00:09:40    12/1000    train       70/140         1.3%      1.00E-03    0.05586
 00:09:42    12/1000     val        10/19          1.3%      1.00E-03    0.05539
 00:09:43    12/1000    train       80/140         1.3%      1.00E-03    0.04748
 00:09:47    12/1000     val        12/19          1.3%      1.00E-03    0.05819
 00:09:47    12/1000    train       90/140         1.3%      1.00E-03    0.04710
 00:09:49    12/1000    train      100/140         1.3%      1.00E-03    0.05457
 00:09:51    12/1000     val        14/19          1.3%      1.00E-03    0.04864
 00:09:52    12/1000    train      110/140         1.3%      1.00E-03    0.04528
 00:09:56    12/1000     val        16/19          1.3%      1.00E-03    0.05066
 00:09:56    12/1000    train      120/140         1.3%      1.00E-03    0.04109
 00:09:58    12/1000    train      130/140         1.3%      1.00E-03    0.04179
 00:10:00    12/1000     val        18/19          1.3%      1.00E-03    0.05148
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:10:02    13/1000    train        0/140         1.3%      1.00E-03    0.04149
 00:10:06    13/1000     val         1/19          1.3%      1.00E-03    0.04809
 00:10:06    13/1000    train       10/140         1.3%      1.00E-03    0.04070
 00:10:09    13/1000    train       20/140         1.3%      1.00E-03    0.03931
 00:10:10    13/1000     val         3/19          1.3%      1.00E-03    0.04436
 00:10:12    13/1000    train       30/140         1.3%      1.00E-03    0.04862
 00:10:15    13/1000     val         5/19          1.3%      1.00E-03    0.05520
 00:10:15    13/1000    train       40/140         1.3%      1.00E-03    0.05073
 00:10:18    13/1000    train       50/140         1.3%      1.00E-03    0.04236
 00:10:19    13/1000     val         7/19          1.3%      1.00E-03    0.05918
 00:10:22    13/1000    train       60/140         1.3%      1.00E-03    0.04044
 00:10:24    13/1000     val         9/19          1.4%      1.00E-03    0.04936
 00:10:24    13/1000    train       70/140         1.4%      1.00E-03    0.04941
 00:10:27    13/1000    train       80/140         1.4%      1.00E-03    0.04637
 00:10:29    13/1000     val        11/19          1.4%      1.00E-03    0.04464
 00:10:31    13/1000    train       90/140         1.4%      1.00E-03    0.04513
 00:10:33    13/1000     val        13/19          1.4%      1.00E-03    0.04928
 00:10:33    13/1000    train      100/140         1.4%      1.00E-03    0.04098
 00:10:36    13/1000    train      110/140         1.4%      1.00E-03    0.03509
 00:10:37    13/1000     val        15/19          1.4%      1.00E-03    0.06533
 00:10:40    13/1000    train      120/140         1.4%      1.00E-03    0.03944
 00:10:42    13/1000     val        17/19          1.4%      1.00E-03    0.05480
